상품군별,범위별,2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05,2020. 06,2020. 07,2020. 08,2020. 09,2020. 10,2020. 11,2020. 12,2021. 01 p),2021. 02 p)
농축수산물,계,"259,029","167,546","194,150","176,139","175,762","180,848","182,683","194,090","288,964","174,780","208,744","221,852","251,910","289,778","228,800","215,400","221,735","214,272","224,230","235,082","310,020","238,060","256,669","254,558","413,272","231,118","278,404","286,290","285,288","269,840","282,677","321,530","374,542","313,056","325,846","341,186","489,675","463,071","527,136","479,364","433,631","434,082","480,415","509,825","733,033","494,660","517,277","650,936","750,949","649,407"
,종합몰,"219,055","144,476","168,778","149,718","148,558","154,118","156,967","165,669","243,766","149,586","176,279","180,356","220,796","244,150","198,231","185,975","190,454","183,720","194,743","203,711","267,997","208,817","220,090","216,101","339,978","191,677","226,657","230,675","227,505","217,797","228,589","263,288","307,940","255,042","262,344","268,793","389,363","398,415","445,000","393,611","350,167","347,886","390,508","423,451","608,152","412,127","425,846","544,293","633,263","536,142"
,전문몰,"39,974","23,070","25,372","26,421","27,204","26,730","25,716","28,421","45,198","25,194","32,465","41,496","31,114","45,628","30,569","29,425","31,281","30,552","29,487","31,371","42,023","29,243","36,579","38,457","73,294","39,441","51,747","55,615","57,783","52,043","54,088","58,242","66,602","58,014","63,502","72,393","100,312","64,656","82,136","85,753","83,464","86,196","89,907","86,374","124,881","82,533","91,431","106,643","117,686","113,265"
생활용품,계,"592,310","607,119","619,493","575,323","600,558","597,243","613,589","631,622","653,743","602,048","708,613","681,900","710,430","636,039","739,338","709,864","715,962","687,897","740,180","714,937","691,804","788,705","799,848","787,821","831,769","735,651","869,192","821,882","862,291","812,251","845,351","874,832","859,634","907,585","932,759","927,285","970,074","1,157,257","1,265,442","1,108,836","1,179,159","1,195,846","1,227,598","1,283,724","1,252,806","1,203,768","1,250,633","1,410,050","1,303,510","1,160,912"
,종합몰,"494,081","514,838","518,912","481,074","506,948","507,165","527,744","540,396","544,821","513,374","605,478","581,158","604,734","538,524","627,714","608,103","617,229","596,753","645,162","625,276","600,745","683,002","698,959","687,968","725,810","644,015","759,621","715,775","759,846","715,873","743,468","768,060","748,147","800,059","823,204","817,291","861,469","1,046,752","1,141,286","984,393","1,050,589","1,064,119","1,111,707","1,168,185","1,121,145","1,087,011","1,120,240","1,275,064","1,181,158","1,047,716"
,전문몰,"98,229","92,281","100,581","94,249","93,610","90,078","85,845","91,226","108,922","88,674","103,135","100,742","105,696","97,515","111,624","101,761","98,733","91,144","95,018","89,661","91,059","105,703","100,889","99,853","105,959","91,636","109,571","106,107","102,445","96,378","101,883","106,772","111,487","107,526","109,555","109,994","108,605","110,505","124,156","124,443","128,570","131,727","115,891","115,539","131,661","116,757","130,393","134,986","122,352","113,196"
자동차 및 자동차용품,계,"80,144","76,677","81,297","80,513","87,211","88,191","94,244","92,700","86,998","80,475","89,567","85,223","77,220","65,502","83,898","82,601","84,011","81,252","91,030","84,879","78,457","88,244","98,099","94,668","96,468","79,857","106,893","97,417","106,336","98,707","97,304","112,212","169,793","106,702","159,418","115,796","114,215","161,620","212,138","133,993","143,859","261,466","158,878","203,186","218,132","153,457","217,731","205,792","155,503","154,781"
,종합몰,"72,567","69,152","72,947","72,551","78,183","79,270","83,033","83,371","78,284","72,515","79,295","74,570","71,246","59,965","76,393","76,447","77,780","74,326","83,758","77,524","71,232","81,228","85,205","85,107","89,706","72,979","94,899","90,522","95,477","88,243","88,350","90,930","150,954","94,622","97,218","96,634","91,948","109,912","123,775","121,979","133,705","137,202","146,862","136,197","140,807","131,934","182,332","186,677","144,807","124,374"
,전문몰,"7,577","7,525","8,350","7,962","9,028","8,921","11,211","9,329","8,714","7,960","10,272","10,653","5,974","5,537","7,505","6,154","6,231","6,926","7,272","7,355","7,225","7,016","12,894","9,561","6,762","6,878","11,994","6,895","10,859","10,464","8,954","21,282","18,839","12,080","62,200","19,162","22,267","51,708","88,363","12,014","10,154","124,264","12,016","66,989","77,325","21,523","35,399","19,115","10,696","30,407"
가구,계,"188,602","219,176","240,688","206,024","201,440","203,584","211,657","226,983","227,801","223,084","242,170","220,685","251,892","241,563","277,056","260,782","254,665","243,327","247,840","244,396","242,257","296,675","295,741","280,075","284,702","273,700","309,508","288,266","289,865","274,041","266,896","279,352","291,520","324,803","329,462","323,767","300,510","368,120","439,763","409,455","407,121","404,547","390,038","414,350","452,577","456,300","453,800","497,857","487,323","447,056"
,종합몰,"156,532","182,747","199,984","171,914","171,363","172,701","181,401","194,140","192,992","191,989","208,410","189,116","217,595","208,862","239,571","227,028","223,364","213,403","219,507","215,555","214,698","259,024","258,019","240,453","240,032","237,189","269,567","249,753","251,021","233,412","226,970","241,237","255,817","283,872","287,279","280,163","261,523","323,582","389,896","358,532","356,709","351,328","338,203","363,332","395,422","400,401","398,406","436,351","424,059","390,074"
,전문몰,"32,070","36,429","40,704","34,110","30,077","30,883","30,256","32,843","34,809","31,095","33,760","31,569","34,297","32,701","37,485","33,754","31,301","29,924","28,333","28,841","27,559","37,651","37,722","39,622","44,670","36,511","39,941","38,513","38,844","40,629","39,926","38,115","35,703","40,931","42,183","43,604","38,987","44,538","49,867","50,923","50,412","53,219","51,835","51,018","57,155","55,899","55,394","61,506","63,264","56,982"
애완용품,계,"53,096","62,005","65,265","59,383","56,112","56,092","58,500","60,590","66,077","64,491","72,675","62,280","72,178","60,944","68,634","70,338","69,233","75,126","75,847","71,481","66,227","69,666","68,301","68,077","72,818","65,332","73,144","75,924","77,463","77,825","77,944","77,351","82,670","88,768","86,415","87,025","85,140","85,799","91,554","90,923","91,046","88,564","96,855","93,103","96,358","100,676","100,832","108,765","104,820","93,218"
,종합몰,"38,440","48,363","50,879","45,178","41,468","41,433","43,816","46,175","51,449","50,183","57,898","48,008","57,236","47,728","54,690","56,127","55,227","61,497","62,196","58,059","54,144","55,620","55,778","55,407","59,833","51,946","59,227","61,405","63,024","64,891","64,592","63,553","66,647","72,501","71,480","71,368","72,706","74,058","78,634","78,288","79,516","76,963","84,941","81,577","84,020","87,147","88,140","94,824","92,403","81,752"
,전문몰,"14,656","13,642","14,386","14,205","14,644","14,659","14,684","14,415","14,628","14,308","14,777","14,272","14,942","13,216","13,944","14,211","14,006","13,629","13,651","13,422","12,083","14,046","12,523","12,670","12,985","13,386","13,917","14,519","14,439","12,934","13,352","13,798","16,023","16,267","14,935","15,657","12,434","11,741","12,920","12,635","11,530","11,601","11,914","11,526","12,338","13,529","12,692","13,941","12,417","11,466"
여행 및 교통서비스,계,"1,215,463","1,110,440","1,072,596","1,134,841","1,181,895","1,210,908","1,379,402","1,406,339","1,222,948","1,207,513","1,157,662","1,278,343","1,491,434","1,246,049","1,264,187","1,320,458","1,429,210","1,413,924","1,568,131","1,560,063","1,265,599","1,329,206","1,296,434","1,396,719","1,538,638","1,417,432","1,379,761","1,395,058","1,489,894","1,483,712","1,651,491","1,692,768","1,370,146","1,486,653","1,497,585","1,619,104","1,566,484","707,906","327,756","442,282","565,043","607,339","805,709","796,217","554,628","690,384","696,532","474,443","498,739","575,939"
,종합몰,"321,684","272,058","241,165","281,224","291,793","327,154","381,031","366,389","279,835","277,425","270,651","323,468","345,332","285,742","268,504","313,299","342,957","372,593","431,726","415,017","313,755","322,039","306,125","330,109","368,456","337,784","322,386","321,195","351,780","363,143","408,124","370,650","285,209","298,475","312,162","322,908","313,068","118,380","63,147","58,490","82,463","82,633","116,723","125,288","66,023","99,537","107,605","55,414","60,781","81,454"
,전문몰,"893,779","838,382","831,431","853,617","890,102","883,754","998,371","1,039,950","943,113","930,088","887,011","954,875","1,146,102","960,307","995,683","1,007,159","1,086,253","1,041,331","1,136,405","1,145,046","951,844","1,007,167","990,309","1,066,610","1,170,182","1,079,648","1,057,375","1,073,863","1,138,114","1,120,569","1,243,367","1,322,118","1,084,937","1,188,178","1,185,423","1,296,196","1,253,416","589,526","264,609","383,792","482,580","524,706","688,986","670,929","488,605","590,847","588,927","419,029","437,958","494,485"
